hand,deal,advisor_seat,advisor_position,dealer_seat,street_reached,showdown,board,advisor_hole,advisor_chips,villain_chips,decisions,seat0_chips,seat1_chips,seat2_chips
3589,1196,1,SB,0,1,False,Ac Qd 5h,7d Kh,-10,10,6,30,-10,-20
3590,1196,2,BB,0,1,False,Ac Qd 5h,7h 8c,-20,20,8,40,-20,-20
3591,1197,0,BTN,0,2,False,Td 7h 6c Qc,Kd 2d,-50,50,7,-50,-10,60
3592,1197,1,SB,0,3,True,Td 7h 6c Qc 6h,Qd Th,2000,-2000,11,0,2000,-2000
3593,1197,2,BB,0,3,True,Td 7h 6c Qc 6h,Qh 9d,-2000,2000,10,0,2000,-2000
3594,1198,0,BTN,0,3,True,8c 6c Jc 9h 4s,Ts 4c,0,0,11,0,480,-480
3595,1198,1,SB,0,3,True,8c 6c Jc 9h 4s,8h 5h,1200,-1200,11,0,1200,-1200
3596,1198,2,BB,0,3,True,8c 6c Jc 9h 4s,Kc 6h,-840,840,11,0,840,-840
3597,1199,0,BTN,0,3,True,8c Kh Qc 7c 6c,Td Tc,2050,-2050,11,2050,-2000,-50
3598,1199,1,SB,0,3,True,8c Kh Qc 7c 6c,Ks Js,1336.6,-1336.6,9,-1316.6,1336.6,-20.0
3599,1199,2,BB,0,3,True,8c Kh Qc 7c 6c,7s 4h,-20,20,12,1930,-1910,-20
3600,1200,0,BTN,0,3,True,9h Qs Jc Ah Kc,5d 8d,0,0,9,0,0,0
3601,1200,1,SB,0,0,False,,8c 2s,-10,10,2,0,-10,10
3602,1200,2,BB,0,3,True,9h Qs Jc Ah Kc,3s 6d,0,0,9,0,0,0
3603,1201,0,BTN,0,0,False,,9h Ks,-50,50,4,-50,-10,60
3604,1201,1,SB,0,1,False,7h Td Tc,4c Qh,-10,10,6,-120,-10,130
3605,1201,2,BB,0,3,True,7h Td Tc 9d Jd,As Ah,172,-172,12,-20,-152,172
3606,1202,0,BTN,0,2,False,2c 4h 4d Ts,Kc 9s,-50,50,7,-50,-10,60
3607,1202,1,SB,0,3,True,2c 4h 4d Ts 3h,6c 7d,-10,10,10,-182,-10,192
3608,1202,2,BB,0,3,True,2c 4h 4d Ts 3h,Qd Kh,40,-40,12,-20,-20,40
3609,1203,0,BTN,0,2,False,3s 2h 4s Kh,Th 9d,60,-60,8,60,-10,-50
3610,1203,1,SB,0,0,False,,2c 8d,-10,10,2,0,-10,10
3611,1203,2,BB,0,3,True,3s 2h 4s Kh Kd,7d 5s,-20,20,9,0,20,-20
3612,1204,0,BTN,0,2,False,Qc Kd 3c 6c,5s 6h,0,0,9,0,-80,80
3613,1204,1,SB,0,1,False,Qc Kd 3c,7s Ad,-60,60,6,0,-60,60
3614,1204,2,BB,0,3,True,Qc Kd 3c 6c 8d,3s Ah,20,-20,9,0,-20,20
3615,1205,0,BTN,0,3,True,Jd 2c Qd Jh 5d,2s 8c,0,0,11,0,-1920,1920
3616,1205,1,SB,0,1,False,Jd 2c Qd,As 8d,-60,60,6,0,-60,60
3617,1205,2,BB,0,3,True,Jd 2c Qd Jh 5d,6c Qc,742,-742,11,0,-742,742
3618,1206,0,BTN,0,3,True,4s Tc 8s As Qc,Ad Ac,801,-801,12,801,-10,-791
3619,1206,1,SB,0,1,False,4s Tc 8s,3h 9d,-10,10,6,130,-10,-120
3620,1206,2,BB,0,0,False,,Kc 7h,-20,20,3,30,-10,-20
3621,1207,0,BTN,0,2,False,3s 2h 8h 5c,Kc Qs,-78,78,7,-78,-10,88
3622,1207,1,SB,0,2,False,3s 2h 8h 5c,3h 9c,-10,10,7,-40,-10,50
3623,1207,2,BB,0,3,True,3s 2h 8h 5c 7d,2d 4s,-40,40,12,-40,80,-40
3624,1208,0,BTN,0,3,False,8h 8s 7s 6c Th,6d 3s,0,0,9,0,20,-20
3625,1208,1,SB,0,2,False,8h 8s 7s 6c,9c Ks,100,-100,7,0,100,-100
3626,1208,2,BB,0,3,False,8h 8s 7s 6c Th,5d Qd,-20,20,9,0,20,-20
3627,1209,0,BTN,0,2,False,Ts 9s 5d 4h,9c 2d,0,0,9,0,-80,80
3628,1209,1,SB,0,0,False,,8s 6h,-10,10,2,0,-10,10
3629,1209,2,BB,0,3,True,Ts 9s 5d 4h Ad,Ks 5s,60,-60,10,0,-60,60
3630,1210,0,BTN,0,2,False,8c 4s 5h 3h,3d 9s,0,0,8,0,-80,80
3631,1210,1,SB,0,1,False,8c 4s 5h,Ah 7s,-60,60,6,0,-60,60
3632,1210,2,BB,0,3,True,8c 4s 5h 3h Kc,5c 9d,80,-80,9,0,-80,80
3633,1211,0,BTN,0,3,True,Tc 9s 8s 8d 3h,3d Jc,0,0,11,0,-1520,1520
3634,1211,1,SB,0,2,False,Tc 9s 8s 8d,Ks Qc,-300,300,9,0,-300,300
3635,1211,2,BB,0,3,True,Tc 9s 8s 8d 3h,Ts 7d,186,-186,10,0,-186,186
3636,1212,0,BTN,0,3,True,9d Kh Qh 9c Th,Kd Ks,2050,-2050,14,2050,-2000,-50
3637,1212,1,SB,0,0,False,,Jd 3d,-10,10,3,30,-10,-20
3638,1212,2,BB,0,0,False,,7d 3c,-20,20,3,30,-10,-20
3639,1213,0,BTN,0,1,False,Tc Jh 2d,Kd 7h,0,0,6,0,-20,20
3640,1213,1,SB,0,1,False,Tc Jh 2d,3s 5s,-10,10,5,-20,-10,30
3641,1213,2,BB,0,1,False,Tc Jh 2d,2s Td,40,-40,7,-20,-20,40
3642,1214,0,BTN,0,3,True,As 6h Qc 6d Jc,2h Kd,0,0,9,0,0,0
3643,1214,1,SB,0,0,False,,7d 4d,-10,10,2,0,-10,10
3644,1214,2,BB,0,3,True,As 6h Qc 6d Jc,2d 9h,0,0,9,0,0,0
3645,1215,0,BTN,0,3,True,2s Ah 5s 6h Ac,8h As,962,-962,14,962,-912,-50
3646,1215,1,SB,0,2,False,2s Ah 5s 6h,Kd Qd,-60,60,8,0,-60,60
3647,1215,2,BB,0,3,True,2s Ah 5s 6h Ac,2d 6d,107,-107,11,0,-107,107
3648,1216,0,BTN,0,1,False,Kh 3h Td,2d 7h,0,0,6,0,-20,20
3649,1216,1,SB,0,0,False,,8d 4d,-10,10,2,0,-10,10
3650,1216,2,BB,0,3,True,Kh 3h Td Jc 9h,9s 3d,20,-20,9,0,-20,20
3651,1217,0,BTN,0,3,True,6s Qc 2c 2d 4h,2h 7d,0,0,9,0,20,-20
3652,1217,1,SB,0,3,True,6s Qc 2c 2d 4h,7c 8s,60,-60,9,0,60,-60
3653,1217,2,BB,0,3,True,6s Qc 2c 2d 4h,5c 8c,-20,20,9,0,20,-20
3654,1218,0,BTN,0,3,False,6h Ad 4h 5h Qc,Th 8c,-86,86,10,-86,-10,96
3655,1218,1,SB,0,0,False,,3c 6d,-10,10,2,0,-10,10
3656,1218,2,BB,0,1,False,6h Ad 4h,9h Qs,-20,20,5,0,20,-20
3657,1219,0,BTN,0,3,True,Tc 4c Qs 9h 5c,9d 3d,0,0,11,0,1604,-1604
3658,1219,1,SB,0,3,True,Tc 4c Qs 9h 5c,Th Kc,2000,-2000,11,0,2000,-2000
3659,1219,2,BB,0,2,False,Tc 4c Qs 9h,7h Td,-80,80,7,0,80,-80
3660,1220,0,BTN,0,3,True,7c Ad 4h 6d 5s,2c 4s,0,0,11,0,-1704,1704
3661,1220,1,SB,0,0,False,,2d Ah,-10,10,2,0,-10,10
3662,1220,2,BB,0,3,True,7c Ad 4h 6d 5s,8s As,742,-742,10,0,-742,742
3663,1221,0,BTN,0,1,False,4s Ts Jd,6h 8s,0,0,5,0,20,-20
3664,1221,1,SB,0,0,False,,Th 4c,-10,10,2,0,-10,10
3665,1221,2,BB,0,1,False,4s Ts Jd,6d 9h,-20,20,5,0,20,-20
3666,1222,0,BTN,0,0,False,,Jc 3h,0,0,3,0,20,-20
3667,1222,1,SB,0,3,True,6c Kh 4s 2h 6s,Tc Th,-2000,2000,12,0,-2000,2000
3668,1222,2,BB,0,3,True,6c Kh 4s 2h 6s,6d 9d,2000,-2000,10,0,-2000,2000
3669,1223,0,BTN,0,3,True,Th 4d 3d 6c Kd,Qh 6s,0,0,10,0,1920,-1920
3670,1223,1,SB,0,0,False,,3c Tc,-10,10,2,0,-10,10
3671,1223,2,BB,0,3,True,Th 4d 3d 6c Kd,7h 7c,-1280,1280,9,0,1280,-1280
3672,1224,0,BTN,0,3,False,6c 6s 6h 4c 6d,2d 2s,-50,50,12,-50,100,-50
3673,1224,1,SB,0,3,True,6c 6s 6h 4c 6d,9s Ks,232,-232,9,0,232,-232
3674,1224,2,BB,0,3,True,6c 6s 6h 4c 6d,Qs Jd,-160,160,9,0,160,-160
3675,1225,0,BTN,0,3,True,Ks 7d 8s 9c Jc,3h 4c,0,0,9,0,80,-80
3676,1225,1,SB,0,2,False,Ks 7d 8s 9c,Qh Td,100,-100,7,0,100,-100
3677,1225,2,BB,0,3,True,Ks 7d 8s 9c Jc,Jh 3d,-80,80,9,0,80,-80
3678,1226,0,BTN,0,0,False,,7h Tc,0,0,4,0,-20,20
3679,1226,1,SB,0,0,False,,2h 3c,-10,10,2,0,-10,10
3680,1226,2,BB,0,3,True,Ts 5d Jd 5s Jh,4c Kc,20,-20,9,0,-20,20
3681,1227,0,BTN,0,1,False,Kc Jd Js,Td 6h,0,0,5,0,20,-20
3682,1227,1,SB,0,3,False,Kc Jd Js 2s Jh,5h Kh,100,-100,9,0,100,-100
3683,1227,2,BB,0,1,False,Kc Jd Js,3c 6c,-20,20,5,0,20,-20
3684,1228,0,BTN,0,1,False,Ad Ks 4d,Jc 8d,60,-60,6,60,-10,-50
3685,1228,1,SB,0,0,False,,Ts 4c,-10,10,2,0,-10,10
3686,1228,2,BB,0,1,False,Ad Ks 4d,3d 9h,-20,20,5,0,20,-20
3687,1229,0,BTN,0,0,False,,2h 8d,0,0,4,0,-20,20
3688,1229,1,SB,0,0,False,,6c 8s,-10,10,2,0,-10,10
3689,1229,2,BB,0,3,True,7c 9h 8h Jd 2c,7h 7d,2000,-2000,11,0,-2000,2000
3690,1230,0,BTN,0,1,False,Th 5c 7s,Jh 8h,60,-60,6,60,-10,-50
3691,1230,1,SB,0,0,False,,6h 8s,-10,10,2,0,-10,10
3692,1230,2,BB,0,2,False,Th 5c 7s 8c,Qd 9d,-20,20,7,0,20,-20
3693,1231,0,BTN,0,1,False,Kh 6h Ac,Td 4s,0,0,5,0,20,-20
3694,1231,1,SB,0,1,False,Kh 6h Ac,As 8h,60,-60,5,0,60,-60
3695,1231,2,BB,0,1,False,Kh 6h Ac,2c 3c,-20,20,5,0,20,-20
3696,1232,0,BTN,0,2,False,7c 2c Tc 8c,9s 6c,0,0,9,0,-80,80
3697,1232,1,SB,0,0,False,,7d Qh,-10,10,2,0,-10,10
3698,1232,2,BB,0,3,False,7c 2c Tc 8c 5c,2d Qc,46,-46,11,0,-46,46
3699,1233,0,BTN,0,3,True,3d 5h 6d Kd Kc,7c Jd,0,0,11,0,-1280,1280
3700,1233,1,SB,0,1,False,3d 5h 6d,Js 6c,-10,10,5,-20,-10,30
3701,1233,2,BB,0,3,True,3d 5h 6d Kd Kc,Ad 6h,2020,-2020,15,-20,-2000,2020
3702,1234,0,BTN,0,3,True,4s 3s Qd 6c 6d,7s Qh,0,0,10,0,-120,120
3703,1234,1,SB,0,0,False,,9d Kc,-60,60,4,0,-60,60
3704,1234,2,BB,0,3,True,4s 3s Qd 6c 6d,Kd Ah,20,-20,9,0,-20,20
3705,1235,0,BTN,0,3,True,Td Th 2c 7d 6h,Kc 2h,0,0,10,0,-320,320
3706,1235,1,SB,0,0,False,,3d Ac,-10,10,2,0,-10,10
3707,1235,2,BB,0,3,True,Td Th 2c 7d 6h,2s Kh,80,-80,9,0,-80,80
3708,1236,0,BTN,0,3,True,7c 4d 2c 7h Qh,8s Ah,60,-60,9,60,-10,-50
3709,1236,1,SB,0,0,False,,9c 4s,-10,10,2,0,-10,10
3710,1236,2,BB,0,1,False,7c 4d 2c,Ts 3h,-20,20,5,0,20,-20
3711,1237,0,BTN,0,2,False,8s 4c 2c 4h,2h Jd,0,0,8,0,-20,20
3712,1237,1,SB,0,1,False,8s 4c 2c,Kd 9h,-60,60,6,0,-60,60
3713,1237,2,BB,0,3,True,8s 4c 2c 4h Qd,Qh 4s,107,-107,11,0,-107,107
3714,1238,0,BTN,0,3,True,8h 6c 6h 7s Th,7c Qc,96,-96,10,96,-10,-86
3715,1238,1,SB,0,2,False,8h 6c 6h 7s,5d 7d,60,-60,7,0,60,-60
3716,1238,2,BB,0,2,False,8h 6c 6h 7s,Js 2s,-20,20,7,0,20,-20
3717,1239,0,BTN,0,2,False,7c Th 6c 3c,8s 3s,0,0,9,0,-80,80
3718,1239,1,SB,0,1,False,7c Th 6c,Kd 8c,-60,60,6,0,-60,60
3719,1239,2,BB,0,3,True,7c Th 6c 3c Ah,4c 7d,20,-20,9,0,-20,20
3720,1240,0,BTN,0,1,False,6h Ac Td,5d 5h,70,-70,6,70,-50,-20
3721,1240,1,SB,0,1,False,6h Ac Td,5s Js,-88,88,7,108,-88,-20
3722,1240,2,BB,0,3,True,6h Ac Td 9c Qs,4h 2s,-20,20,12,40,-20,-20
3723,1241,0,BTN,0,2,False,8d 2d Js 5h,8h 6d,0,0,8,0,-20,20
3724,1241,1,SB,0,0,False,,7c Qd,-10,10,2,0,-10,10
3725,1241,2,BB,0,3,True,8d 2d Js 5h Td,6c 5c,20,-20,9,0,-20,20
3726,1242,0,BTN,0,3,False,8h 4s 6h Tc Ad,Jh Ah,70,-70,10,70,-50,-20
3727,1242,1,SB,0,1,False,8h 4s 6h,Jc Qh,-235,235,7,255,-235,-20
3728,1242,2,BB,0,1,False,8h 4s 6h,3d Th,-20,20,8,40,-20,-20
3729,1243,0,BTN,0,3,True,Qs 2c 2d 7c 8h,Jc 6d,0,0,11,0,0,0
3730,1243,1,SB,0,0,False,,7s Jd,-10,10,2,0,-10,10
3731,1243,2,BB,0,3,True,Qs 2c 2d 7c 8h,7h 9s,0,0,9,0,0,0
3732,1244,0,BTN,0,3,True,Td Js 5s 4s 4h,Qs 6c,0,0,11,0,1604,-1604
3733,1244,1,SB,0,3,True,Td Js 5s 4s 4h,Th Jc,2000,-2000,11,0,2000,-2000
3734,1244,2,BB,0,3,True,Td Js 5s 4s 4h,Ts 7d,-1280,1280,9,0,1280,-1280
3735,1245,0,BTN,0,3,False,Td Ah Tc Ts 2h,Qc Qd,232,-232,12,232,-10,-222
3736,1245,1,SB,0,2,False,Td Ah Tc Ts,Kd 4s,-10,10,9,105,-10,-95
3737,1245,2,BB,0,3,True,Td Ah Tc Ts 2h,Jh 6c,-20,20,13,1714,-1694,-20
3738,1246,0,BTN,0,3,True,8s 9c Jc 6c Ac,Ks 5h,0,0,9,0,20,-20
3739,1246,1,SB,0,0,False,,4h 6s,-10,10,2,0,-10,10
3740,1246,2,BB,0,3,True,8s 9c Jc 6c Ac,2h 4d,-20,20,9,0,20,-20
3741,1247,0,BTN,0,3,True,Kh Ah 5d Qd 6h,Qh Qc,2010,-2010,12,2010,-10,-2000
3742,1247,1,SB,0,3,True,Kh Ah 5d Qd 6h,2s 9h,-10,10,11,1818,-10,-1808
3743,1247,2,BB,0,1,False,Kh Ah 5d,8h 8d,-20,20,8,40,-20,-20
3744,1248,0,BTN,0,3,True,As Qc Ad 6h 8c,2s Ac,0,0,10,0,-1920,1920
3745,1248,1,SB,0,0,False,,Qh 2d,-10,10,2,0,-10,10
3746,1248,2,BB,0,2,False,As Qc Ad 6h,8h 8d,-80,80,7,0,80,-80
3747,1249,0,BTN,0,1,False,9s Ad Tc,Qd 7d,-380,380,7,-380,-10,390
3748,1249,1,SB,0,0,False,,2h Jc,-10,10,2,0,-10,10
3749,1249,2,BB,0,2,False,9s Ad Tc 4h,Ts 4c,20,-20,8,0,-20,20
3750,1250,0,BTN,0,2,False,Jd Td Jc 4d,9c 2d,0,0,8,0,-20,20
3751,1250,1,SB,0,0,False,,3s 6s,-10,10,2,0,-10,10
3752,1250,2,BB,0,3,True,Jd Td Jc 4d 6h,9h 4h,-80,80,9,0,80,-80
3753,1251,0,BTN,0,3,True,5c Ac 5d 3d 4c,8h 9h,-50,50,11,-50,1450,-1400
3754,1251,1,SB,0,2,False,5c Ac 5d 3d,Ad 9c,-240,240,9,0,-240,240
3755,1251,2,BB,0,3,True,5c Ac 5d 3d 4c,4h Ah,-1280,1280,9,0,1280,-1280
3756,1252,0,BTN,0,3,True,Ac Qd 2s 9h 5s,6h Td,0,0,9,0,20,-20
3757,1252,1,SB,0,0,False,,7s Tc,-10,10,2,0,-10,10
3758,1252,2,BB,0,3,True,Ac Qd 2s 9h 5s,4s 8s,-20,20,9,0,20,-20
3759,1253,0,BTN,0,3,True,6d Jd 2h 3h Js,Ts Qd,-50,50,11,-50,-1967,2017
3760,1253,1,SB,0,3,True,6d Jd 2h 3h Js,Ad 9d,-1920,1920,12,0,-1920,1920
3761,1253,2,BB,0,3,True,6d Jd 2h 3h Js,Jh 7h,2000,-2000,12,0,-2000,2000
3762,1254,0,BTN,0,1,False,5s Th 9s,2c Td,0,0,6,0,-20,20
3763,1254,1,SB,0,0,False,,3c 4h,-10,10,2,0,-10,10
3764,1254,2,BB,0,3,True,5s Th 9s Kc 8d,5d 3h,20,-20,9,0,-20,20
3765,1255,0,BTN,0,1,False,8h 6s Td,7d Kh,0,0,7,0,-120,120
3766,1255,1,SB,0,3,True,8h 6s Td 7s 3d,Jd 3c,-10,10,10,2005,-10,-1995
3767,1255,2,BB,0,3,True,8h 6s Td 7s 3d,Qc 6c,-20,20,12,40,-20,-20
3768,1256,0,BTN,0,3,False,2c Ad 5d 3s 3d,Qc 4c,96,-96,11,96,-10,-86
3769,1256,1,SB,0,0,False,,Qd 6c,-10,10,2,0,-10,10
3770,1256,2,BB,0,3,True,2c Ad 5d 3s 3d,7s Tc,-20,20,9,0,20,-20
3771,1257,0,BTN,0,3,True,8d 5s 7s Qd Ts,6d Ad,-50,50,12,-50,-50,100
3772,1257,1,SB,0,3,True,8d 5s 7s Qd Ts,9c As,-88,88,13,-88,-88,176
3773,1257,2,BB,0,3,True,8d 5s 7s Qd Ts,Kh Td,40,-40,12,-20,-20,40
3774,1258,0,BTN,0,1,False,Kc Js 4d,9h 3d,0,0,7,0,-120,120
3775,1258,1,SB,0,0,False,,6s 3s,-10,10,2,0,-10,10
3776,1258,2,BB,0,1,False,Kc Js 4d,Qd Qs,20,-20,6,0,-20,20
3777,1259,0,BTN,0,2,False,6h Td Kh 5c,6d Kc,0,0,10,0,-480,480
3778,1259,1,SB,0,3,True,6h Td Kh 5c 8c,3h Jh,-10,10,11,-1770,-10,1780
3779,1259,2,BB,0,2,False,6h Td Kh 5c,8h 8d,-140,140,13,280,-140,-140
3780,1260,0,BTN,0,3,True,Jc 2s 6d 7c Kd,Kc 9c,2010,-2010,10,2010,-10,-2000
3781,1260,1,SB,0,3,True,Jc 2s 6d 7c Kd,9h 6h,-88,88,15,572,-88,-484
3782,1260,2,BB,0,3,True,Jc 2s 6d 7c Kd,5h 5s,-20,20,11,1930,-1910,-20
3783,1261,0,BTN,0,3,True,8s Kh Qc 6s 3d,4s 9d,0,0,9,0,-20,20
3784,1261,1,SB,0,0,False,,4d 7h,-10,10,2,0,-10,10
3785,1261,2,BB,0,3,True,8s Kh Qc 6s 3d,7s Th,20,-20,9,0,-20,20
3786,1262,0,BTN,0,0,False,,7c Jd,0,0,4,0,-20,20
3787,1262,1,SB,0,3,False,Qc 7s 8d 7d Jh,6h Tc,-10,10,12,505,-10,-495
3788,1262,2,BB,0,3,True,Qc 7s 8d 7d Jh,3s 3c,-470,470,14,490,-20,-470
3789,1263,0,BTN,0,3,True,Ac 3d 8d 4h Kc,7h 2s,0,0,10,0,1680,-1680
3790,1263,1,SB,0,0,False,,4s Kh,-10,10,2,0,-10,10
3791,1263,2,BB,0,3,True,Ac 3d 8d 4h Kc,8h 9d,-640,640,9,0,640,-640
3792,1264,0,BTN,0,3,True,3h 9d Ah 6h Ac,2s 6c,0,0,9,0,1280,-1280
3793,1264,1,SB,0,3,True,3h 9d Ah 6h Ac,5s Ad,557,-557,10,0,557,-557
3794,1264,2,BB,0,3,True,3h 9d Ah 6h Ac,Kc 3d,-1280,1280,9,0,1280,-1280
3795,1265,0,BTN,0,3,True,9h Js 6c 8h 5c,Td 7h,0,0,10,0,-1520,1520
3796,1265,1,SB,0,0,False,,Kh 6d,-10,10,2,0,-10,10
3797,1265,2,BB,0,3,True,9h Js 6c 8h 5c,Th 8d,1020,-1020,10,0,-1020,1020
3798,1266,0,BTN,0,3,True,Kd Th 7c 4c Qh,7d 4h,0,0,11,0,-1704,1704
3799,1266,1,SB,0,2,False,Kd Th 7c 4c,8d Td,-300,300,9,0,-300,300
3800,1266,2,BB,0,3,True,Kd Th 7c 4c Qh,Kc 7s,2000,-2000,12,0,-2000,2000
3801,1267,0,BTN,0,3,True,6s Jh 9s 8h Ts,8c 3h,0,0,10,0,-1520,1520
3802,1267,1,SB,0,0,False,,6d 5c,-10,10,2,0,-10,10
3803,1267,2,BB,0,3,True,6s Jh 9s 8h Ts,9c 3d,320,-320,9,0,-320,320
3804,1268,0,BTN,0,3,True,2h 4c Ad Kh 9h,Jh Qc,96,-96,10,96,-10,-86
3805,1268,1,SB,0,0,False,,2d 5s,-10,10,2,0,-10,10
3806,1268,2,BB,0,1,False,2h 4c Ad,Qd 8c,-20,20,5,0,20,-20
3807,1269,0,BTN,0,3,True,3c 8c 2c 9c 2s,Kd 7d,-50,50,13,-50,-1175,1225
3808,1269,1,SB,0,2,False,3c 8c 2c 9c,Ks 9d,-88,88,11,-88,-88,176
3809,1269,2,BB,0,3,True,3c 8c 2c 9c 2s,Th Jc,172,-172,13,-20,-152,172
3810,1270,0,BTN,0,3,True,Kc As Ac 9c 9s,Jc 8d,5,-5,10,5,-10,5
3811,1270,1,SB,0,3,True,Kc As Ac 9c 9s,9h Qc,232,-232,9,0,232,-232
3812,1270,2,BB,0,2,False,Kc As Ac 9c,4d Jd,-20,20,7,0,20,-20
3813,1271,0,BTN,0,1,False,4c Tc 3d,As 8c,-380,380,7,-380,-10,390
3814,1271,1,SB,0,0,False,,4d 6h,-10,10,2,0,-10,10
3815,1271,2,BB,0,3,True,4c Tc 3d 6d 4h,Th 5h,-476.19047619047615,476.19047619047615,10,0.0,476.19047619047615,-476.19047619047615
3816,1272,0,BTN,0,3,True,Ad 5s Jd 7h 5h,6s 9s,-50,50,9,-50,-10,60
3817,1272,1,SB,0,0,False,,3d 8s,-10,10,2,0,-10,10
3818,1272,2,BB,0,3,True,Ad 5s Jd 7h 5h,6h Qs,20,-20,9,0,-20,20
3819,1273,0,BTN,0,2,False,Ad 6c 8c Kh,Jh Kc,60,-60,8,60,-10,-50
3820,1273,1,SB,0,2,False,Ad 6c 8c Kh,Ts 7s,-382,382,10,402,-382,-20
3821,1273,2,BB,0,2,False,Ad 6c 8c Kh,9h 5d,-20,20,11,40,-20,-20
3822,1274,0,BTN,0,1,False,Kc Js 5h,7s Th,0,0,5,0,20,-20
3823,1274,1,SB,0,1,False,Kc Js 5h,Ks Qc,60,-60,5,0,60,-60
3824,1274,2,BB,0,1,False,Kc Js 5h,7c 2h,-20,20,5,0,20,-20
3825,1275,0,BTN,0,1,False,Jh 5d 6s,4d 3c,0,0,5,0,20,-20
3826,1275,1,SB,0,0,False,,Jd 2s,-10,10,2,0,-10,10
3827,1275,2,BB,0,3,False,Jh 5d 6s Tc 4s,Qs 9c,-320,320,9,0,320,-320
3828,1276,0,BTN,0,2,False,6d Js Jd 8s,Jc 9d,96,-96,9,96,-10,-86
3829,1276,1,SB,0,1,False,6d Js Jd,3h 7c,-10,10,6,30,-10,-20
3830,1276,2,BB,0,1,False,6d Js Jd,4h 9h,-20,20,8,40,-20,-20
3831,1277,0,BTN,0,3,True,8h Th 3d 9s 2d,2h Ah,-1967,1967,10,-1967,2017,-50
3832,1277,1,SB,0,3,True,8h Th 3d 9s 2d,8c 8d,-2000,2000,10,0,-2000,2000
3833,1277,2,BB,0,3,True,8h Th 3d 9s 2d,6h 7s,2000,-2000,10,0,-2000,2000
3834,1278,0,BTN,0,3,True,5s 9c 3s Jc Ac,9h 8s,-1967,1967,10,-1967,2017,-50
3835,1278,1,SB,0,3,True,5s 9c 3s Jc Ac,Ts 9s,-400,400,10,0,-400,400
3836,1278,2,BB,0,2,False,5s 9c 3s Jc,7h As,-80,80,7,0,80,-80
3837,1279,0,BTN,0,2,False,5d 2h Jc 4d,9d Kc,-86,86,8,-86,-10,96
3838,1279,1,SB,0,2,False,5d 2h Jc 4d,5c Th,-10,10,8,-120,-10,130
3839,1279,2,BB,0,3,True,5d 2h Jc 4d 7h,4h 3c,-20,20,12,-20,40,-20
3840,1280,0,BTN,0,3,True,7s 5d 6h Qc 3d,Tc Kd,-50,50,10,-50,-1967,2017
3841,1280,1,SB,0,3,True,7s 5d 6h Qc 3d,9c 9s,-1000,1000,10,0,-1000,1000
3842,1280,2,BB,0,3,True,7s 5d 6h Qc 3d,Ad 4d,2000,-2000,11,0,-2000,2000
3843,1281,0,BTN,0,3,True,8d 9s 2d 8c 7s,As Ac,323,-323,11,323,-10,-313
3844,1281,1,SB,0,3,True,8d 9s 2d 8c 7s,Qc 4d,-10,10,11,2005,-10,-1995
3845,1281,2,BB,0,0,False,,Kd Qh,-240,240,5,250,-10,-240
3846,1282,0,BTN,0,0,False,,6h 8s,0,0,4,0,-20,20
3847,1282,1,SB,0,0,False,,8d 9h,-10,10,2,0,-10,10
3848,1282,2,BB,0,1,False,Qd 2h 2c,Kd Kc,20,-20,6,0,-20,20
3849,1283,0,BTN,0,3,True,3h Kh 4d 2s 7h,3s 9d,0,0,10,0,-40,40
3850,1283,1,SB,0,0,False,,8h Jc,-10,10,2,0,-10,10
3851,1283,2,BB,0,3,True,3h Kh 4d 2s 7h,3d 8s,20,-20,9,0,-20,20
3852,1284,0,BTN,0,1,False,Ks 6h 9h,7h 8s,0,0,5,0,20,-20
3853,1284,1,SB,0,0,False,,3d 6c,-10,10,2,0,-10,10
3854,1284,2,BB,0,1,False,Ks 6h 9h,5c 3h,-20,20,5,0,20,-20
3855,1285,0,BTN,0,0,False,,As Qh,-50,50,5,-50,-50,100
3856,1285,1,SB,0,0,False,,7h 9d,-10,10,2,0,-10,10
3857,1285,2,BB,0,2,False,Qs 4s 5c 5d,Kd Kh,46,-46,9,0,-46,46
3858,1286,0,BTN,0,3,True,9c Js Ad 3s Kd,9h 3d,0,0,10,0,1920,-1920
3859,1286,1,SB,0,2,False,9c Js Ad 3s,8d 8c,-100,100,8,0,-100,100
3860,1286,2,BB,0,2,False,9c Js Ad 3s,5c 5h,-80,80,7,0,80,-80
3861,1287,0,BTN,0,2,False,6s 5d Td 8d,6d 2s,0,0,8,0,-20,20
3862,1287,1,SB,0,0,False,,As 3h,-10,10,2,0,-10,10
3863,1287,2,BB,0,3,False,6s 5d Td 8d Qd,7d 5s,40,-40,10,0,-40,40
3864,1288,0,BTN,0,1,False,Jh Ah Kd,5s 6s,-50,50,5,-50,-10,60
3865,1288,1,SB,0,0,False,,4d 5c,-10,10,2,0,-10,10
3866,1288,2,BB,0,2,False,Jh Ah Kd 8h,5h Ad,20,-20,8,0,-20,20
3867,1289,0,BTN,0,0,False,,5c Qh,0,0,4,0,-20,20
3868,1289,1,SB,0,1,False,Tc 5s 3d,8c 9c,-60,60,6,0,-60,60
3869,1289,2,BB,0,1,False,Tc 5s 3d,Ac Jh,20,-20,6,0,-20,20
3870,1290,0,BTN,0,3,True,9s 3h Qc Kc Qd,7s 7c,-50,50,11,-50,-1400,1450
